id;start;end;state
1;2020-11-25T09:09:58;2020-11-25T12:04:38;NOT_START
2;2020-11-25T08:13:25;2020-11-24T20:02:51;INPROGRESS
3;2020-11-24T21:59:54;2020-11-25T13:09:26;NOT_START
4;2020-11-25T08:06:45;2020-11-24T22:49:37;NOT_START
5;2020-11-25T00:58:31;2020-11-24T22:29:04;NOT_START
6;2020-11-24T13:28:09;2020-11-25T09:50:01;INPROGRESS
7;2020-11-25T04:11:18;2020-11-25T00:19:04;INPROGRESS
8;2020-11-24T19:03:18;2020-11-24T16:56:40;INPROGRESS
9;2020-11-25T01:41:06;2020-11-25T12:07:57;NOT_START
10;2020-11-25T12:07:21;2020-11-25T01:08:45;END
